sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
51653,164,320747,221,4608,5131,534246,4608
51654,164,350402,176,3039,4389,531899,3039
51655,158,276164,44,1963,3282,420234,1963
51656,165,181583,6,2760,3109,381396,2760
51657,164,163357,10,718,2189,543143,718
51658,163,262636,5,1913,3376,543288,1913
51659,167,377114,21,2562,4981,540021,2562
51660,164,428030,11,2618,5441,543648,2618
51661,164,395476,2,1780,4099,543455,1780
51662,164,316055,22,2969,4647,543129,2969
51663,164,373574,12,2322,5147,543350,2322
51664,177,257993,10,2106,3193,543005,2106
51665,164,182128,1,518,1518,543042,518
51666,164,341022,6,2283,3703,543312,2283
51667,164,418009,9,2767,5055,543373,2767
51668,166,397713,1,1846,4890,534636,1846
51669,164,362525,13,3148,5124,535529,3148
51670,164,417030,15,2607,6393,535586,2607
51671,164,454011,14,1528,6334,543348,1528
51672,163,413144,2,2445,6374,543208,2445
51673,165,406571,49,2948,5029,543387,2948
51674,164,401066,7,1604,4255,528012,1604
51675,164,378813,8,3858,4975,543403,3858
51676,164,388321,58,2855,6067,543083,2855
51677,164,384006,26,3138,4850,534127,3138
51678,176,340579,72,3813,4734,585449,3813
51679,169,219867,27,1478,2196,546052,1478
51680,164,331031,35,1310,2247,543744,1310
51681,164,436060,24,2999,4517,538486,2999
51682,165,311953,296,4560,4239,504331,4560
51683,164,392701,112,5104,5268,543613,5104
51684,164,414058,89,5301,4478,543647,5301
51685,164,267046,132,6278,6345,543418,6278
51686,165,327436,67,3844,6175,543322,3844
51687,164,264465,25,3394,5230,543093,3394
51688,165,314421,30,4904,7154,548819,4904
51689,165,325379,32,4644,6087,544192,4644
51690,164,314791,149,5799,5492,533270,5799
51691,164,394894,70,5244,5039,543347,5244
51692,165,391972,79,5663,4606,543480,5663
51693,164,249378,89,6223,6112,524606,6223
51694,164,328200,48,4260,5550,543532,4260
51695,164,306416,11,5192,6921,543140,5192
51696,164,317858,38,5184,5855,543026,5184
51697,164,326665,190,5594,5483,540418,5594
51698,165,400706,82,5285,4974,543975,5285
51699,164,396462,101,5692,4480,543520,5692
51700,164,259941,102,6321,6074,533142,6321
51701,164,304422,55,3660,5382,543384,3660
51702,164,296384,31,3915,5781,543394,3915
51703,168,304349,18,5276,6294,534320,5276
51704,164,334202,36,4872,5742,544195,4872
51705,165,343058,118,5926,5370,521592,5926
51706,164,371115,60,5442,5074,543064,5442
51707,164,346655,75,6274,4770,533987,6274
51708,164,303144,51,4964,5730,543378,4964
51709,164,306467,30,4901,5958,543814,4901
51710,164,321192,13,5166,6731,543257,5166
51711,165,300892,26,4959,5333,511230,4959
51712,164,313426,199,5394,6343,543445,5394
51713,164,329192,109,5066,6185,543238,5066
51714,164,323756,67,4274,6176,543247,4274
51715,164,363580,121,3924,5593,543539,3924
51716,165,397396,96,3711,5430,543302,3711
51717,164,312841,53,4619,5696,534008,4619
51718,164,331918,24,4210,5636,543227,4210
51719,164,281677,136,5810,6056,533763,5810
51720,164,238084,21,2802,5126,543385,2802
51721,164,284330,17,3493,6711,543002,3493
51722,164,261989,29,3323,5266,543344,3323
51723,164,262612,5,3512,4994,533844,3512
51724,164,334393,38,3292,6416,543544,3292
51725,165,324969,33,4191,6389,543512,4191
51726,163,357502,19,2550,8283,543235,2550
51727,164,331571,25,3551,5341,533290,3551
51728,165,232923,29,4345,4742,516297,4345
51729,164,304892,24,4371,5787,543450,4371
51730,164,321150,127,3772,4957,543874,3772
51731,164,344286,200,5594,5827,542380,5594
51732,164,411069,54,5097,5027,543172,5097
51733,165,309425,150,6230,4943,543627,6230
51734,164,313415,60,4772,5653,543380,4772
51735,164,278506,39,3996,5479,534008,3996
51736,164,302081,19,4914,7342,543583,4914
51737,164,314911,42,4999,6014,543634,4999
51738,165,331884,126,5368,5793,543706,5368
51739,164,393903,74,5232,4814,533496,5232
51740,164,415620,62,5326,4261,543482,5326
51741,164,270238,107,6450,6099,543423,6450
51742,164,342791,41,4226,5592,543330,4226
