sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
508,1061,675040,138,138
509,1060,675304,138,138
510,1061,674967,138,138
511,1061,674118,138,138
512,1061,675037,138,138
513,1061,674958,138,138
514,1060,675302,141,141
515,1061,674268,138,138
516,1061,675114,138,138
517,1061,675046,138,138
518,1061,674470,138,138
519,1061,675352,141,141
520,1061,674957,138,138
521,1060,675005,138,138
522,1061,674052,138,138
523,1061,675328,138,138
524,1061,675004,138,138
525,1061,675021,138,138
526,1061,674291,138,138
527,1061,675018,138,138
528,1061,675368,141,141
529,1060,674933,138,138
530,1061,674326,138,138
531,1061,675108,138,138
532,1061,675139,138,138
533,1061,674379,141,141
534,1061,675068,138,138
535,1060,674990,138,138
536,1061,675013,138,138
537,1061,674413,138,138
538,1061,675250,141,138
539,1061,674976,138,138
540,1061,675027,138,138
541,1061,674318,138,138
542,1060,675320,139,139
543,1061,675012,138,138
544,1061,675027,138,138
545,1061,674082,138,138
546,1061,675076,138,138
547,1061,675401,141,141
548,1024,651126,132,132
549,1062,675278,138,138
550,1060,675128,141,139
551,1061,675033,138,138
552,1061,674259,138,138
553,1061,674988,138,138
554,1061,675368,138,138
555,1060,674983,138,138
556,1061,674122,138,138
557,1061,675077,138,138
558,1061,675022,138,138
559,1061,675354,141,141
560,1061,674326,138,138
561,1060,675110,138,138
562,1061,675103,138,138
563,1061,675163,138,138
564,1061,674488,141,138
565,1061,675048,138,138
566,1061,675005,138,138
567,1060,674105,138,138
568,1061,675167,138,138
569,1061,675040,138,138
570,1061,675019,138,138
571,1061,674347,138,138
572,1061,675085,138,138
573,1061,675346,141,141
574,1060,675009,138,138
575,1061,674306,138,138
576,1061,675034,138,138
577,1061,675083,138,138
578,1061,675240,141,141
579,1060,674106,138,138
580,1061,674970,138,138
581,1061,675031,138,138
582,1061,674410,138,138
583,1061,675162,141,139
584,1061,675020,138,138
585,1060,674915,138,138
586,1061,674340,138,138
587,1061,675373,138,138
588,1061,675042,138,138
589,1061,675054,138,138
590,1061,674149,138,138
591,1061,675071,138,138
592,1060,675296,141,141
593,1061,674962,138,138
594,1061,674402,138,138
595,1061,675058,138,138
596,1063,675199,138,138
597,1060,675168,138,138
598,1061,674369,138,138
599,1061,675000,138,138
600,1061,675110,138,138
601,1061,674401,141,141
602,1061,675029,138,138
603,1060,675001,138,138
604,1061,675045,138,138
605,1062,674205,138,138
606,1060,675306,141,141
607,1061,674986,138,138
608,1061,674995,138,138
609,1061,674356,138,138
610,1060,675256,138,138
611,1061,674971,138,138
612,1061,675057,138,138
613,1061,674043,138,138
614,1061,675085,138,138
615,1061,675401,141,141
616,1060,674250,138,138
617,1061,675065,138,138
618,1061,675105,138,138
619,1061,675171,138,138
620,1061,674634,141,141
621,1061,675102,138,138
622,1061,675024,138,138
623,1061,674997,138,138
624,1061,674417,138,138
625,1061,675047,139,138
626,1060,675044,138,138
627,1061,675014,138,138
628,1061,674328,138,138
629,1061,675433,141,141
630,1061,675016,138,138
631,1061,674361,138,138
632,1060,675070,138,138
633,1062,675065,138,138
634,1060,675267,141,141
635,1061,674123,138,138
636,1061,675061,138,138
637,1061,674969,138,138
638,1061,675283,138,138
639,1060,674217,138,138
640,1061,675011,138,138
641,1061,675062,138,138
642,1061,674986,138,138
643,1061,674772,139,139
644,1061,675045,138,138
645,1060,675011,138,138
646,1061,674991,138,138
647,1061,674110,138,138
648,1061,675318,141,141
649,1061,675062,138,138
650,1061,674260,138,138
651,1061,675075,138,138
652,1061,675069,138,138
653,1060,675170,141,138
654,1061,674353,138,138
655,1061,675016,138,138
656,1061,674953,138,138
657,1061,675292,139,139
658,1061,673698,138,139
659,1061,675150,138,138
660,1060,675003,138,138
661,1062,674997,138,138
662,1060,674597,138,138
663,1061,674996,138,138
664,1061,675016,138,138
665,1061,674312,138,138
666,1061,675092,138,138
667,1061,674346,141,143
668,1061,674999,138,138
669,1060,673841,138,139
670,1061,674946,138,138
671,1061,674937,138,138
672,1061,675315,141,141
673,1061,674220,138,138
674,1061,674991,138,138
675,1060,675008,138,138
676,1061,675165,138,138
677,1061,674507,141,139
678,1061,674960,138,138
679,1061,675012,138,138
680,1027,652928,135,135
681,1061,675110,138,138
682,1061,675010,138,138
683,1061,675200,138,138
684,1061,674432,141,138
685,1063,676370,138,138
686,1060,675032,138,138
687,1061,675104,138,138
688,1061,674639,141,141
689,1061,675068,138,138
690,1061,674996,138,138
691,1060,675022,138,138
692,1062,674269,138,138
693,1060,675240,141,140
694,1061,674992,138,138
695,1061,674957,138,138
696,1061,674287,138,138
697,1061,675371,138,138
698,1060,674969,138,138
699,1061,674348,138,138
700,1061,674994,138,138
701,1061,675022,138,138
702,1061,675332,141,141
703,1060,674083,138,138
704,1061,675043,138,138
705,1061,674988,138,138
706,1061,675117,138,138
707,1061,674489,141,140
708,1061,674974,138,138
709,1060,675018,138,138
710,1061,674969,138,138
711,1061,674608,138,138
712,1061,675091,138,138
713,1061,675031,138,138
714,1061,674079,138,138
715,1061,675043,138,138
716,1060,675391,141,141
717,1061,674985,138,138
718,1061,674153,138,138
719,1060,675055,138,138
720,1062,675160,138,138
721,1061,675390,141,141
722,1060,674303,138,138
723,1061,674991,138,138
724,1061,675038,138,138
725,1061,675228,138,138
726,1061,673703,138,138
727,1060,675072,138,138
728,1061,675010,138,138
729,1061,674989,138,138
730,1061,674499,138,138
731,1061,675056,138,138
732,1060,675014,138,138
733,1061,674260,138,138
734,1061,675002,138,138
735,1061,675349,141,141
736,1061,675008,138,138
737,1060,674041,138,138
738,1061,675104,138,138
739,1062,675133,138,138
740,1060,675264,141,141
741,1061,674298,138,138
742,1061,675032,138,138
743,1060,675068,138,138
744,1061,675211,138,138
745,1061,674327,138,138
746,1061,675088,138,138
747,1060,675013,138,138
748,1061,674117,138,138
749,1061,675225,138,138
750,1061,674993,138,138
751,1061,674937,138,138
752,1061,674298,138,138
753,1061,675019,138,138
754,1061,675403,141,141
755,1060,675003,138,138
756,1061,674330,138,138
757,1061,675059,138,138
758,1061,675153,138,138
759,1061,675272,141,141
760,1061,674119,138,138
761,1060,675048,138,138
762,1061,675016,138,138
763,1061,674421,138,138
764,1061,675265,141,138
765,1061,674974,138,138
766,1062,675018,138,138
767,1062,674626,138,138
768,1061,675293,141,141
769,1060,674954,138,138
770,1061,675008,138,138
771,1061,674151,138,138
772,1061,675172,138,138
773,1061,675047,138,138
774,1060,674968,138,138
775,1061,674310,138,138
776,1061,674986,138,138
777,1061,675305,141,141
778,1060,675031,138,138
779,1061,674304,138,138
780,1061,675021,138,138
781,1061,675129,138,138
782,1061,674383,141,141
783,1061,675097,138,138
784,1061,675014,138,138
785,1060,674992,138,138
786,1062,674479,138,138
787,1060,675228,141,138
788,1061,674998,138,138
789,1061,674989,138,138
790,1061,674311,138,138
791,1061,675413,139,139
792,1061,675021,138,138
793,1060,674962,138,138
794,1061,674121,138,138
795,1061,675029,138,138
796,1061,675349,141,141
797,1061,674251,138,138
798,1061,675070,138,138
799,1060,674996,138,138
800,1061,675156,138,138
801,1061,674407,141,138
802,1061,675149,138,138
803,1061,675015,138,138
804,1061,675113,138,138
805,1061,674500,138,138
806,1061,674976,138,138
807,1060,674933,138,138
808,1061,674994,138,138
809,1061,674317,138,138
810,1061,675359,141,141
811,1060,674959,138,138
812,1027,652494,132,132
813,1061,675152,140,138
814,1061,674964,138,138
815,1060,675015,138,138
816,1061,674112,138,138
817,1061,675390,139,139
818,1061,675008,138,138
819,1061,675034,138,138
820,1061,674282,138,138
821,1061,675175,138,138
822,1061,675278,141,141
823,1060,675020,138,138
824,1061,674286,138,138
825,1062,665984,138,199
826,1060,674994,138,140
827,1061,674972,138,138
828,1061,673100,138,140
829,1063,676481,138,138
830,1061,675008,138,138
831,1060,674191,138,138
832,1061,675047,138,138
833,1061,674966,138,138
834,1061,675276,141,141
835,1061,674355,138,138
836,1060,675073,138,138
837,1061,675020,138,138
838,1061,675155,138,138
839,1061,674357,141,141
840,1061,675078,138,138
841,1061,675017,138,138
842,1060,675059,138,138
843,1062,674442,138,138
844,1061,675143,141,138
845,1060,675017,138,138
846,1061,673831,138,138
847,1061,675027,138,138
848,1061,675198,138,138
849,1060,674944,138,138
850,1061,674020,138,138
851,1061,675025,138,138
852,1061,674977,138,138
853,1060,675324,141,141
854,1061,674264,138,138
855,1061,675024,138,138
856,1061,675007,138,138
857,1061,675114,138,138
858,1061,674612,141,141
859,1061,675016,138,138
860,1060,675012,138,138
861,1061,675036,138,138
862,1062,674251,138,138
863,1060,675274,141,141
864,1061,675011,138,138
865,1061,674216,138,138
866,1061,675042,138,138
867,1061,675339,138,138
868,1060,674956,138,138
869,1061,674277,138,138
870,1061,675015,138,138
871,1061,675040,138,138
872,1061,675292,141,141
873,1061,674120,138,138
874,1060,675063,138,138
875,1061,675042,138,138
876,1062,675200,138,138
877,1060,674427,141,138
878,1061,675026,138,138
879,1061,675013,138,138
880,1061,674231,138,138
881,1061,675339,138,138
882,1060,674975,138,138
883,1061,674996,138,138
884,1061,674038,138,138
885,1061,675053,138,138
886,1061,675314,141,141
887,1060,674976,138,138
888,1061,674225,138,138
889,1061,675063,138,138
890,1061,675134,138,138
891,1061,675260,141,141
892,1061,674323,138,138
893,1061,675039,138,138
894,1061,674970,138,138
895,1061,674131,138,138
896,1061,675293,141,140
897,1060,675016,138,138
898,1061,674950,138,138
899,1061,674246,138,138
900,1061,675411,138,138
901,1061,674967,138,138
902,1060,674981,138,138
903,1061,674271,138,138
904,1062,675019,138,138
905,1060,675361,141,141
906,1061,675010,138,138
907,1061,674047,138,138
908,1061,675062,138,138
909,1061,675149,138,138
910,1060,675129,141,138
