sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,
561,1063,7316850,0,220,
562,1064,7342787,0,167,
563,1063,7350765,0,150,
564,1063,7336845,0,165,
565,1063,7331400,0,153,
566,1063,7343152,0,154,
567,1063,7332287,0,156,
568,1063,7359006,0,149,
569,1063,7392087,0,140,
570,1064,7341362,0,104,
571,1063,7323965,0,125,
572,1064,7253184,0,599,
573,1064,7392386,0,194,
574,1063,7372863,0,137,
575,1063,7372555,0,132,
576,1063,7358617,0,196,
577,1064,7396007,0,200,
578,1063,7404858,0,138,
579,1063,7418775,0,134,
580,1063,7424538,0,150,
581,1064,7436763,0,183,
582,1063,7441773,0,149,
583,1063,7402100,0,205,
584,1064,7352389,0,255,
585,1063,7395181,0,107,
586,1063,7407558,0,142,
587,1063,7372837,0,249,
588,1064,7407453,0,199,
589,1063,7413461,0,184,
590,1063,7401568,0,188,
591,1065,7259611,0,595,
592,1063,7384494,0,154,
593,1063,7385735,0,168,
594,1063,7403916,0,142,
595,1064,7371226,0,180,
596,1063,7442251,0,157,
597,1063,7433825,0,177,
598,1064,7417814,0,232,
599,1063,7433838,0,153,
