sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
54128,165,220148,2118,5659,1232,544527,5659
54129,164,247906,1940,5142,1290,543574,5142
54130,164,224085,2078,5674,1113,544961,5674
54131,165,224204,2132,5609,1271,543941,5609
54132,164,200495,2396,5312,1327,544340,5312
54133,164,260456,1857,5164,1320,544316,5164
54134,164,208763,2314,5753,1054,544557,5753
54135,165,212758,2208,5382,1159,544667,5382
54136,164,246927,1974,5105,1412,545117,5105
54137,165,255160,1946,5111,1266,545495,5111
54138,165,215764,2285,6135,1013,545647,6135
54139,164,215953,2200,5671,1277,545048,5671
54140,165,236579,2062,5390,1205,544686,5390
54141,164,231666,2176,5553,1156,544529,5553
54142,165,206215,2378,5700,1104,544774,5700
54143,170,232452,2121,5582,1192,543763,5582
54144,165,235505,2147,5788,1154,545898,5788
54145,164,247524,1921,5618,1308,533383,5618
54146,165,221126,2183,5709,1282,546706,5709
54147,165,250306,1884,5820,1304,544555,5820
54148,164,232853,2034,5257,1394,544220,5257
54149,164,209436,2269,5481,1302,544395,5481
54150,165,224916,2161,5326,1213,544465,5326
54151,165,229935,2062,5414,1224,545217,5414
54152,164,230153,2126,5811,1086,545564,5811
54153,165,212131,2222,5595,1293,544720,5595
54154,164,214302,2260,5258,1317,545440,5258
54155,165,220938,2122,5519,1282,545063,5519
54156,164,268352,1837,4818,1211,544738,4818
54157,165,236474,1971,5586,1279,544339,5586
54158,164,267580,1831,4891,1122,544773,4891
54159,165,215906,2114,5128,1442,544839,5128
54160,164,271850,1846,5124,1217,544014,5124
54161,164,223447,2107,5371,1353,544930,5371
54162,165,218438,2384,5415,1066,544979,5415
54163,164,285656,1561,5484,1310,543963,5484
54164,164,231988,2127,5623,1145,543791,5623
54165,165,218390,2105,5266,1310,544523,5266
54166,164,236431,2074,5255,1183,544572,5255
54167,164,248088,1908,5461,1185,544080,5461
54168,165,244592,1902,5160,1435,544346,5160
54169,171,202321,2399,5816,1104,545133,5816
54170,164,228538,1969,5917,1302,545277,5917
54171,165,273944,1627,4815,1290,544003,4815
54172,165,208325,2273,5889,1212,545220,5889
54173,164,235355,2037,5404,1196,545133,5404
54174,164,240775,1950,5468,1331,543702,5468
54175,165,227521,2195,5482,1156,545013,5482
54176,165,228031,2183,5579,1217,544727,5579
54177,164,233660,2051,4825,1302,544096,4825
54178,165,256913,1858,5035,1428,545370,5035
54179,164,215453,2236,5880,1085,544713,5880
54180,165,224979,2220,5063,1211,546178,5063
54181,164,221064,2242,5651,1139,544883,5651
54182,165,243427,1847,5069,1412,544892,5069
54183,165,224451,2107,5644,1235,544884,5644
54184,164,224009,2141,5401,1192,544585,5401
54185,165,249045,1903,5416,1360,545446,5416
54186,165,225387,2109,5419,1385,546026,5419
54187,164,244594,1958,5115,1331,545198,5115
54188,164,218459,2131,5544,1198,544480,5544
54189,165,231324,2164,5372,1220,546769,5372
54190,165,212529,2244,5665,1274,544733,5665
54191,164,200704,2358,5387,1278,544375,5387
54192,158,146783,1358,3490,811,347699,3490
54193,164,24738,170,1291,208,68218,1291
54194,165,216932,2108,5970,1210,536001,5970
54195,165,243853,1945,5144,1363,544086,5144
54196,164,260938,1949,4910,1158,544520,4910
54197,164,195480,2413,5855,1224,544630,5855
54198,165,239422,2126,5634,1159,544980,5634
54199,164,203949,2254,5354,1257,544643,5354
54200,165,246594,1868,5477,1402,544339,5477
54201,164,223140,2198,5985,1196,544538,5985
54202,165,235545,1983,5007,1254,544966,5007
54203,164,213147,2209,5651,1231,544892,5651
54204,165,252439,2024,5578,1212,545322,5578
54205,164,235758,2043,5616,1321,544358,5616
54206,165,232648,2071,5024,1383,544323,5024
54207,164,220876,2323,5698,1140,545379,5698
54208,164,242115,2033,5296,1258,543771,5296
54209,164,258601,1976,4989,1261,543996,4989
54210,165,228226,2203,5471,1224,547053,5471
54211,165,217090,2268,5892,1135,544514,5892
54212,164,220165,2161,5103,1294,544544,5103
54213,165,278829,1786,4934,1107,545856,4934
54214,164,254073,1784,4786,1517,544139,4786
54215,164,253251,1718,5866,1326,544261,5866
54216,165,287153,1579,4931,1340,543793,4931
54217,165,216933,2220,5471,1280,545742,5471
54218,164,229018,2007,5570,1262,531792,5570
54219,165,189863,2441,5791,1255,544872,5791
54220,165,228649,2138,5346,1372,544408,5346
54221,164,206941,2318,5606,1196,544202,5606
54222,165,218732,2091,5209,1405,546313,5209
54223,164,239597,2028,5373,1299,544512,5373
54224,165,233208,2136,5503,1117,545520,5503
54225,164,243820,2032,5704,1223,544386,5704
54226,164,220476,2212,5975,1202,545928,5975
54227,165,226961,2120,5088,1331,544994,5088
54228,171,251132,1961,5457,1223,544185,5457
54229,164,225199,2101,5357,1224,544732,5357
54230,165,234039,2019,4981,1360,544321,4981
54231,164,222252,2124,5577,1256,544225,5577
54232,165,238504,2059,5392,1263,544494,5392
54233,164,198428,2370,6003,1072,544042,6003
54234,165,245934,1985,5300,1089,546316,5300
54235,165,196117,2443,5810,1180,545526,5810
54236,164,231996,2067,5342,1242,544948,5342
54237,165,230605,2070,5604,1185,545279,5604
54238,164,234392,2047,5839,1147,544751,5839
