sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,
341,1069,1038640,7492,7511,
342,1065,1008588,7636,7630,
343,1064,1015466,7663,7663,
344,1067,927450,6918,6923,
345,1064,864491,6494,6494,
346,1070,820445,6130,6259,
347,1067,1020343,7650,7654,
348,1063,1023370,7655,7650,
349,1067,967009,7068,7097,
350,1063,925263,6851,6850,
351,1062,948133,6997,6996,
352,1063,962820,7195,7201,
353,1063,964216,7298,7296,
354,1062,989973,7181,7176,
355,1065,973051,7390,7388,
356,1065,986310,7422,7421,
357,1063,879360,6486,6543,
358,1063,1035161,7568,7723,
359,1061,1019788,7646,7642,
360,2857,2670486,19973,20167,
361,1066,961942,7144,7150,
362,1063,1001216,7635,7630,
363,1062,1025032,7703,7703,
364,1062,1017287,7681,7681,
365,1063,1023884,7683,7680,
366,1062,1024268,7676,7670,
367,1062,1025373,7701,7696,
368,1063,1033117,7584,7604,
369,1062,1023531,7653,7648,
370,1069,937532,7018,7220,
371,1066,910208,6647,6660,
372,1108,890740,6727,6731,
373,1062,938352,6890,6885,
374,1064,955994,7310,7340,
375,1063,1031493,7575,7740,
376,1064,948415,7052,7049,
377,1058,882154,6652,6650,
378,1061,909857,6834,6868,
379,1063,975649,7068,7230,
380,1061,959615,7365,7360,
381,1061,981014,7256,7251,
382,1063,980186,7302,7320,
383,1062,985088,7410,7408,
384,1062,1011630,7689,7691,
385,1062,1019880,7679,7679,
386,1065,1024997,7720,7715,
387,1363,1315322,9723,9762,
388,1610,1535028,11418,11422,
