sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
811,1061,5571917,0,1887
812,1062,5582897,0,2050
813,1062,5457835,0,1778
814,1061,5456859,1,1770
815,1062,5571492,0,1766
816,1062,5590208,1,1454
817,1061,5583939,3,1638
818,1062,5587908,1,1518
819,1062,5444691,1,1790
820,1064,5384525,1,16569
821,1063,5520054,36,4149
822,1061,5448043,1,2808
823,1062,5455877,1,2765
824,1062,5456330,2,2354
825,1061,5462457,0,1724
826,1062,5441752,0,2112
827,1062,5459097,0,1857
828,1061,5461402,2,1755
829,1065,5466507,1,1893
830,1062,5522343,2,2274
831,1061,5537590,1,1932
832,1062,5533047,2,2004
833,1062,5533320,0,2068
834,1061,5518558,2,2263
835,1062,5534462,1,1791
836,1062,5540361,2,1460
837,1025,5340783,0,1095
838,1062,5543036,0,1373
839,1062,5535859,0,1559
840,1062,5460031,2,1586
841,1061,5519890,0,1902
842,1062,5538445,1,1636
843,1062,5457478,1,2819
844,1061,5532970,2,2245
845,1062,5523456,2,2542
846,1062,5531843,2,2206
847,1061,5532780,2,2230
848,1062,5525333,1,2663
849,1062,5516694,3,2580
850,1061,5530978,1,2466
851,1062,5530309,0,2491
852,1062,5530439,1,2244
853,1062,5515791,0,2790
854,1061,5533865,0,2274
855,1062,5534826,0,2365
856,1062,5514212,2,2356
857,1061,5533442,0,2258
858,1062,5528622,2,2286
859,1061,5529924,1,2001
860,1062,5526274,0,2113
861,1062,5536307,0,1780
862,1062,5540628,1,1864
863,1061,5529882,1,1913
864,1062,5514999,0,1962
865,1062,5543293,0,1450
866,1062,5538372,1,1455
867,1062,5537300,1,1552
868,1061,5521155,2,2158
869,1063,5359639,41,19145
870,1062,5539517,0,2510
871,1062,5521741,1,2622
872,1062,5453821,1,2616
873,1062,5583292,1,2269
874,1061,5585130,2,2027
875,1062,5569599,0,2211
876,1062,5589882,0,1936
877,1061,5587443,2,1684
878,1062,5584772,1,1894
879,1061,5573700,1,2299
880,1062,5583960,0,1993
881,1062,5584813,3,1941
882,1061,5584657,2,2125
883,1062,5581307,1,2112
884,1062,5584461,1,1670
885,1062,5588636,2,1402
886,1037,5444192,1,1346
887,1062,5587924,0,1380
