sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
233,164,53690,812,1573,14,543671,1573
234,163,56276,797,1558,16,543689,1558
235,164,53386,807,1565,11,543622,1565
236,164,53586,809,1568,12,543808,1568
237,164,53482,808,1567,11,543670,1567
238,163,53832,815,1574,11,543385,1574
239,164,55152,800,1814,13,543652,1814
240,165,54100,786,1549,11,544151,1549
241,164,53619,806,1570,13,543621,1570
242,163,53549,810,1569,11,543584,1569
243,164,53594,810,1570,12,543642,1570
244,163,53778,812,1573,11,543353,1573
245,164,53683,811,1571,12,543634,1571
246,164,53614,811,1571,12,543388,1571
247,163,53553,809,1567,12,543680,1567
248,164,53390,805,1564,12,543462,1564
249,164,55171,800,1814,13,543853,1814
250,165,57240,786,1549,16,544021,1549
251,164,53800,810,1575,12,543407,1575
252,164,53360,805,1568,12,538911,1568
253,164,53629,810,1575,12,543884,1575
254,163,53346,804,1569,11,543455,1569
255,164,53486,806,1572,12,543776,1572
256,164,53302,804,1569,10,543723,1569
257,163,53586,809,1573,11,543421,1573
258,164,53547,809,1573,12,543419,1573
259,164,53503,808,1573,11,543430,1573
260,165,54954,791,1675,13,543735,1675
261,164,53981,786,1550,11,544002,1550
262,163,53302,803,1563,11,543488,1563
263,164,53552,809,1570,10,543343,1570
264,164,53393,805,1567,11,543575,1567
265,164,53524,809,1567,12,543230,1567
266,163,56437,802,1563,16,543572,1563
267,164,53772,813,1575,11,543411,1575
268,164,53477,807,1568,11,543626,1568
269,163,53760,813,1574,10,543461,1574
270,164,53962,802,1654,11,543609,1654
271,165,54445,791,1552,12,543967,1552
272,164,53678,791,1556,10,543470,1556
273,163,53553,809,1572,12,543474,1572
274,164,53551,809,1571,12,543452,1571
275,164,53976,818,1580,11,543859,1580
276,163,53392,804,1567,9,543488,1567
277,164,53123,800,1566,10,539251,1566
278,164,53633,811,1578,11,543884,1578
279,164,53686,813,1581,10,543848,1581
280,163,53594,810,1578,12,543596,1578
281,165,55120,791,1693,13,544255,1693
282,164,56896,787,1553,17,544212,1553
283,164,53509,806,1565,12,543537,1565
284,163,53682,811,1570,11,543497,1570
285,164,53717,814,1572,11,543649,1572
286,164,53626,811,1569,11,543769,1569
287,164,53605,810,1569,11,543451,1569
288,163,53418,806,1564,12,543766,1564
289,164,53247,803,1562,10,544544,1562
290,164,53748,813,1571,10,543455,1571
291,164,54784,796,1782,12,543915,1782
292,165,53899,786,1548,12,544049,1548
293,163,53581,796,1558,13,543496,1558
294,164,53609,809,1567,13,543806,1567
295,163,53372,805,1563,10,543335,1563
296,166,53298,804,1563,12,543591,1563
297,163,53655,811,1570,11,543943,1570
298,164,53305,804,1563,10,543712,1563
299,164,56305,799,1559,16,543679,1559
300,164,53484,807,1565,12,543548,1565
301,164,52215,782,1544,11,529613,1544
302,163,53588,809,1571,12,543780,1571
303,165,54906,795,1809,12,544910,1809
304,164,54199,786,1548,11,544217,1548
305,164,53675,809,1569,12,543780,1569
306,164,53786,814,1572,12,543511,1572
307,163,54401,826,1584,12,543839,1584
308,164,54444,827,1586,11,543577,1586
309,164,54314,825,1584,12,543516,1584
310,164,54122,820,1579,12,543573,1579
311,164,55203,795,1808,13,544157,1808
312,164,53880,786,1548,12,544262,1548
313,164,53567,807,1567,11,543882,1567
314,164,53590,810,1569,10,543757,1569
315,163,56584,805,1568,15,543339,1568
316,164,53533,807,1569,12,543512,1569
317,164,53668,811,1573,11,543694,1573
318,163,53579,810,1571,11,543499,1571
319,164,53744,814,1575,12,543692,1575
320,164,53745,813,1574,10,543576,1574
321,164,54820,793,1809,10,543777,1809
322,165,54100,786,1551,11,544176,1551
323,163,53712,806,1571,10,543413,1571
324,164,53580,809,1570,11,543539,1570
325,166,53640,811,1573,11,543840,1573
326,164,53980,811,1577,13,544613,1577
327,164,53536,808,1572,10,544075,1572
328,163,53581,810,1574,9,543686,1574
329,164,53409,806,1571,11,543793,1571
330,164,53538,808,1573,11,543684,1573
331,164,57306,794,1708,15,543505,1708
332,164,54074,787,1548,11,544398,1548
333,164,53814,797,1559,13,543915,1559
334,164,53450,806,1565,12,543572,1565
335,163,53444,806,1565,12,543638,1565
336,164,53681,812,1570,11,543492,1570
337,164,53690,812,1571,12,543757,1571
338,163,53492,807,1566,12,543498,1566
339,164,53377,806,1565,11,543763,1565
340,164,53546,809,1568,12,543730,1568
341,164,53678,811,1569,12,543514,1569
342,164,54821,792,1624,13,543916,1624
343,164,53774,786,1548,12,544438,1548
344,164,53567,809,1568,11,543661,1568
345,164,53719,812,1570,12,543600,1570
346,164,53736,813,1571,12,543737,1571
347,163,56729,808,1570,15,543670,1570
348,164,53594,810,1572,12,543558,1572
349,163,53585,809,1571,11,543490,1571
350,164,53427,806,1568,10,539691,1568
351,164,53551,809,1574,11,543936,1574
352,165,55085,792,1787,11,544352,1787
353,164,54164,786,1551,12,544199,1551
354,163,53569,809,1571,11,543625,1571
355,164,53377,805,1567,9,543531,1567
356,164,53549,809,1570,10,543464,1570
357,163,53302,804,1566,10,543404,1566
358,164,53791,813,1575,9,543859,1575
359,164,53316,804,1566,10,543631,1566
360,163,53675,811,1572,11,543410,1572
361,164,53298,804,1566,12,543632,1566
362,164,54262,804,1679,11,543975,1679
363,165,56802,792,1552,15,543837,1552
364,164,53679,786,1551,10,544219,1551
365,163,53661,811,1571,12,543803,1571
366,164,53673,811,1572,11,543582,1572
367,164,53484,807,1569,11,543486,1569
368,163,53580,808,1571,12,543737,1571
369,164,53529,808,1570,10,543457,1570
370,164,53384,806,1568,10,543483,1568
371,164,53551,811,1572,11,543859,1572
372,163,53734,813,1574,10,543545,1574
373,164,54610,793,1778,12,543638,1778
374,165,53325,786,1552,12,538361,1552
375,164,53894,790,1558,13,543708,1558
376,164,53579,810,1574,12,543769,1574
377,163,53680,811,1576,10,543512,1576
378,164,53494,808,1573,10,543618,1573
379,164,56573,803,1570,16,543608,1570
380,164,53681,812,1577,11,543634,1577
381,165,53387,805,1570,11,543488,1570
382,164,53537,809,1573,11,544131,1573
383,164,54064,810,1628,13,543552,1628
384,164,54640,791,1558,10,544508,1558
385,164,54052,797,1562,13,543522,1562
386,163,53579,809,1571,11,543498,1571
387,164,53601,810,1571,12,543482,1571
388,164,53496,808,1570,11,543520,1570
389,164,53402,805,1567,11,543684,1567
390,163,53698,813,1574,10,543681,1574
391,164,53456,807,1568,11,543740,1568
392,164,53786,814,1575,12,543494,1575
393,164,54050,805,1649,12,543690,1649
394,165,54405,791,1553,11,544251,1553
395,163,56891,788,1554,16,543899,1554
396,164,53307,803,1563,12,543606,1563
397,164,53310,804,1562,10,543727,1562
398,164,53313,804,1565,11,543646,1565
399,164,52633,790,1555,11,535456,1555
400,163,53592,809,1578,11,543724,1578
401,164,53557,810,1577,11,543639,1577
402,164,53738,813,1579,12,543713,1579
403,163,53562,809,1576,10,543578,1576
404,164,53719,812,1578,9,543822,1578
405,165,54934,792,1657,13,544010,1657
406,164,53935,786,1550,12,544077,1550
407,163,53834,815,1574,12,543563,1574
408,164,54132,821,1581,12,543710,1581
409,163,54495,827,1586,13,543389,1586
410,164,54535,830,1590,12,543957,1590
411,163,54494,828,1588,11,543602,1588
412,164,56981,808,1600,18,543728,1600
413,165,54777,791,1578,14,544194,1578
414,164,53649,787,1550,11,544256,1550
415,164,53187,802,1563,11,543464,1563
416,163,53771,813,1573,12,543769,1573
417,164,53487,808,1567,10,543657,1567
418,163,53647,810,1570,10,543534,1570
419,164,53457,807,1566,12,543630,1566
420,164,53258,803,1564,12,543597,1564
421,163,53448,807,1567,11,543501,1567
422,164,53774,813,1573,12,543592,1573
423,165,53605,795,1641,13,539886,1641
424,164,54303,792,1550,12,544537,1550
425,164,53932,794,1558,13,543841,1558
426,164,53622,810,1569,12,543477,1569
427,164,53592,810,1569,11,544165,1569
428,163,56579,804,1564,16,543521,1564
429,164,53729,813,1572,11,544030,1572
430,163,53608,810,1569,13,543627,1569
431,164,53721,812,1570,12,543548,1570
432,164,53343,805,1564,12,543441,1564
433,164,53640,811,1570,11,543809,1570
434,164,55066,791,1614,13,543976,1614
435,164,54044,795,1557,13,543660,1557
436,164,53777,813,1572,12,543645,1572
437,163,53635,811,1569,13,543585,1569
438,164,53564,809,1568,11,543652,1568
439,163,53457,807,1566,12,543479,1566
440,164,53581,809,1568,12,543504,1568
441,164,53458,807,1565,12,543615,1565
442,164,53546,810,1569,12,543823,1569
443,164,53716,807,1594,13,543822,1594
444,164,57624,792,1584,18,543934,1584
445,164,53904,786,1548,12,544240,1548
446,163,53292,803,1561,12,543472,1561
447,164,53380,806,1565,12,543737,1565
448,164,52951,796,1558,12,538069,1558
449,164,53415,806,1568,12,543778,1568
450,164,53402,805,1568,12,543689,1568
451,164,49984,735,1503,12,502258,1503
452,163,53386,805,1568,11,544165,1568
453,164,53738,813,1574,13,543559,1574
454,164,53666,811,1574,12,543412,1574
455,163,53575,810,1572,12,543672,1572
456,164,53772,814,1575,12,543714,1575
457,164,55200,797,1811,12,544010,1811
458,165,54223,786,1548,13,544352,1548
459,163,53215,802,1560,12,543639,1560
460,164,56526,804,1564,16,543515,1564
461,163,53592,810,1569,12,543722,1569
462,164,53632,809,1568,13,543683,1568
463,164,53546,809,1568,12,543742,1568
464,163,53498,808,1567,12,543498,1567
465,164,53544,809,1568,11,543749,1568
466,164,53498,808,1566,12,543434,1566
467,165,53953,807,1623,13,543588,1623
468,165,54174,786,1548,12,544749,1548
469,163,53730,804,1566,13,543455,1566
470,164,53560,809,1568,15,543355,1568
471,163,53546,809,1568,12,543478,1568
472,164,52879,795,1559,12,538998,1559
473,164,53354,805,1571,11,543608,1571
474,164,53512,808,1574,12,543714,1574
475,163,53465,807,1574,11,543955,1574
476,164,56374,800,1571,15,543341,1571
477,163,53564,809,1577,10,543496,1577
478,164,53990,801,1670,14,543991,1670
479,165,54316,792,1552,11,544230,1552
480,164,53637,788,1553,13,543688,1553
481,163,53576,810,1571,10,543830,1571
482,164,53212,802,1566,10,543680,1566
483,164,53415,806,1568,11,543659,1568
484,164,53478,807,1568,12,543570,1568
485,163,53654,812,1573,13,543703,1573
486,164,53538,808,1569,11,543595,1569
487,164,53593,810,1571,12,543968,1571
488,164,53744,813,1575,12,543361,1575
489,164,54570,791,1783,12,543711,1783
490,164,54320,786,1551,11,544065,1551
491,164,53608,806,1571,12,543644,1571
492,163,56340,800,1563,16,543776,1563
493,164,53734,813,1575,10,543736,1575
494,164,53607,810,1572,11,543752,1572
495,163,53440,807,1569,10,543551,1569
496,164,53236,803,1565,12,539108,1565
497,164,53639,811,1577,10,543832,1577
498,164,53350,805,1570,10,543640,1570
499,164,53448,807,1572,11,543635,1572
500,164,54799,791,1753,12,543834,1753
501,164,54285,786,1551,10,544174,1551
502,164,53588,810,1571,11,543582,1571
503,164,53403,807,1569,9,543613,1569
504,164,53453,807,1569,11,543642,1569
505,163,53353,805,1567,11,543491,1567
506,164,53614,809,1572,12,543635,1572
507,164,53439,807,1568,10,543571,1568
508,163,53494,808,1570,10,543496,1570
509,164,56376,800,1564,17,543394,1564
510,164,55100,816,1725,12,543745,1725
511,164,55396,788,1549,12,544176,1549
512,164,54471,829,1589,12,543390,1589
513,164,54552,830,1591,11,543869,1591
514,163,54100,819,1581,11,543567,1581
515,164,53445,806,1568,12,543477,1568
516,163,53448,807,1567,11,543627,1567
