sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
417,1061,3766822,0,7
418,1062,3777033,0,2
419,1063,3763462,0,53
420,1062,3771403,0,7
421,1062,3771373,0,12
422,1061,3770397,0,5
423,1063,3770212,0,138
424,1062,3770439,0,12
425,1064,3778124,0,8
426,1062,3756742,0,75
427,1062,3770794,0,13
428,1063,3647192,0,689
429,1062,3765812,0,16
430,1062,3750916,0,81
431,1062,3762221,0,12
432,1062,3757083,0,7
433,1062,3762824,0,6
434,1062,3749723,0,51
435,1062,3760279,0,6
436,1061,3767459,0,1
437,1061,3773079,0,3
438,1062,3758741,0,44
439,1061,3768767,0,8
440,1062,3766878,0,6
441,1058,3740118,0,22
442,1061,3759352,1,36
443,1062,3770839,0,7
444,1061,3763076,0,9
445,1062,3763988,0,31
446,1061,3639956,0,647
447,1062,3761985,0,22
448,1061,3767137,0,9
449,1061,3748372,0,78
450,1062,3764372,0,11
451,1061,3774988,0,3
452,1061,3782760,0,4
453,1062,3764916,0,67
454,1062,3775123,0,12
455,1061,3763673,0,5
456,1061,3761691,0,2
457,1063,3762408,0,39
458,1062,3781653,0,8
459,1062,3781356,0,15
460,1061,3763039,0,38
461,1061,3776352,0,8
462,1061,3780744,0,6
463,1062,3779925,0,2
464,1062,3760335,0,22
465,1062,3653078,0,675
466,1062,3776049,0,11
467,1064,3786487,0,9
468,1062,3765864,0,119
469,1062,3781396,0,5
470,1061,3785212,0,11
471,1062,3787106,0,6
472,1063,3779743,0,79
473,1061,3786995,0,12
474,1062,3786378,0,12
475,1062,3771305,0,61
476,1062,3787725,0,5
477,1062,3783797,0,5
478,1062,3790474,0,7
479,1062,3778536,0,36
480,1061,3788568,0,13
481,1062,3781443,0,4
482,1062,3781983,0,7
483,1062,3766196,0,54
484,1062,3652810,0,637
485,1062,3783069,0,16
486,1062,3782940,0,6
487,1062,3762850,0,89
488,1062,3776101,0,4
489,1062,3776869,0,6
490,1062,3769263,0,30
491,1062,3780697,0,8
492,1062,3779118,0,0
493,1062,3778622,0,5
494,1062,3772832,0,28
495,1063,3780024,0,8
496,1063,3724830,0,263
497,1061,3778905,0,11
498,1063,3764406,0,65
499,1062,3778929,0,5
500,1061,3781036,0,5
501,1062,3775868,0,4
502,1063,3773179,1,58
503,1062,3653188,0,639
504,1062,3777974,0,4
505,1061,3786079,0,8
506,1063,3776962,1,85
507,1061,3783780,0,10
508,1065,3794671,0,5
509,1062,3772303,0,77
510,1062,3788153,0,5
511,1061,3785527,0,9
512,1062,3790564,0,14
513,1062,3785127,0,47
514,1062,3781766,0,9
515,1062,3785219,0,7
516,1061,3786863,0,2
517,1062,3779014,0,45
518,1062,3783570,0,10
519,1062,3788237,0,4
520,1062,3786326,0,4
521,1062,3646852,0,713
522,1062,3796322,0,27
523,1061,3802282,0,12
524,1063,3791644,0,52
525,1061,3801661,0,10
526,1062,3805550,0,11
527,1062,3810866,0,5
528,1062,3795598,0,67
529,1061,3803644,0,12
530,1062,3803948,0,1
531,1062,3803419,0,11
532,1062,3798980,0,64
533,1062,3807796,0,12
534,1061,2589725,4,141
535,1062,1857897,2,12
536,1062,1403501,1,129
537,1062,3256573,3,688
538,1062,3730273,0,14
539,1062,3730246,0,50
540,1062,3612086,0,663
541,1062,3741931,0,12
542,1062,3744141,0,5
543,1062,3731597,0,65
544,1062,3749416,0,5
545,1061,3738965,0,15
546,1062,3746627,0,4
547,1062,3740204,0,48
548,1062,3753189,0,10
549,1061,3749753,0,4
550,1062,3749657,0,2
551,1064,3745989,0,56
552,1062,3754249,0,9
553,1062,3748199,0,7
554,1065,3751371,0,39
555,1062,3743451,0,35
556,1062,3746427,0,11
