sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
658,161,47900,1141,1906
659,162,44325,1080,1590
660,160,47493,1167,1681
661,161,44438,1091,1699
662,161,47210,1100,1610
663,161,45977,1106,1871
664,160,45790,1068,1578
665,161,47408,1137,1902
666,161,45013,1056,1566
667,161,48025,1144,1909
668,161,43417,1088,1598
669,161,47393,1131,1645
670,160,45141,1090,1855
671,161,46320,1079,1589
672,161,46757,1123,1888
673,161,45294,1060,1571
674,161,47989,1149,1915
675,161,44493,1061,1571
676,161,48874,1169,1918
677,161,43244,1102,1612
678,161,47836,1126,1640
679,160,45339,1093,1858
680,161,46938,1097,1607
681,161,46440,1115,1881
682,160,45773,1072,1582
683,161,47634,1142,1908
684,161,44507,1044,1554
685,161,48631,1159,1925
686,161,43281,1098,1608
687,160,47866,1133,1647
688,161,45559,1103,1868
689,161,48010,1125,1635
690,161,46371,1125,1890
691,160,48056,1128,1638
692,161,45774,1102,1867
693,161,46595,1091,1601
694,161,46798,1122,1891
695,161,45170,1059,1569
696,160,48136,1150,1915
697,162,44148,1070,1580
698,161,47855,1169,1726
699,160,44012,1094,1638
700,161,47435,1105,1615
701,161,46000,1109,1874
702,161,46545,1088,1599
703,161,46830,1125,1890
704,160,45384,1063,1573
705,161,47709,1140,1905
706,161,44316,1065,1575
707,161,48248,1169,1811
708,161,43597,1104,1614
709,161,47816,1116,1630
710,161,45545,1101,1866
711,160,46426,1085,1595
712,161,46769,1123,1888
713,160,45139,1056,1566
714,161,47815,1141,1907
715,162,44097,1073,1583
716,161,48352,1169,1774
717,161,43570,1092,1606
718,160,47250,1101,1611
719,161,45884,1103,1869
720,161,45824,1070,1580
721,160,47057,1127,1893
722,161,44443,1042,1552
723,161,48647,1160,1927
724,161,43617,1097,1607
725,161,47790,1141,1655
726,161,44996,1084,1849
727,160,46954,1096,1606
728,161,46247,1111,1877
729,161,45507,1065,1575
730,160,47668,1141,1907
731,161,44575,1051,1561
732,161,48935,1168,1933
733,161,43499,1095,1605
734,161,47501,1131,1645
735,161,45142,1086,1852
736,160,46728,1091,1601
737,161,46619,1124,1890
738,161,45420,1062,1572
739,160,47853,1147,1913
740,161,44659,1050,1560
741,161,48752,1164,1929
742,161,43196,1093,1603
743,161,47652,1128,1642
744,161,45329,1093,1858
745,160,46858,1096,1606
746,161,46388,1114,1880
747,161,45758,1072,1582
748,161,47707,1144,1909
749,160,44745,1051,1561
750,161,48695,1164,1931
751,161,43633,1086,1596
752,161,48034,1158,1672
753,161,44837,1085,1795
754,161,47202,1100,1610
755,160,45848,1101,1867
756,161,46013,1077,1587
757,161,47355,1136,1902
758,160,44849,1052,1562
759,161,48478,1159,1924
760,161,43730,1080,1590
761,161,47784,1158,1672
762,161,44823,1084,1773
763,161,47025,1095,1605
764,160,46130,1109,1874
765,161,46069,1078,1588
766,166,47216,1131,1896
767,161,45463,1067,1577
768,160,47856,1144,1909
769,162,44143,1064,1574
770,161,48421,1169,1813
771,160,43471,1099,1609
772,161,47885,1117,1629
773,161,45521,1098,1863
774,161,46392,1082,1592
775,160,46857,1127,1892
776,161,45493,1066,1576
777,161,47753,1142,1908
778,161,44340,1059,1569
779,161,49204,1173,1943
780,161,43808,1098,1609
781,161,47699,1143,1657
782,160,45023,1087,1852
783,161,46982,1096,1606
784,161,46394,1119,1884
785,160,46116,1080,1590
786,161,47198,1132,1898
787,161,44896,1054,1564
788,160,48431,1156,1922
789,162,43878,1086,1596
790,160,47715,1158,1672
791,161,44681,1079,1768
792,161,48229,1131,1641
793,161,46193,1120,1886
794,161,48124,1130,1641
795,161,46370,1123,1888
796,160,46702,1089,1599
797,161,46435,1115,1880
798,161,45542,1066,1576
799,160,47888,1149,1915
800,161,44469,1046,1556
801,161,48862,1167,1932
802,162,43491,1096,1606
803,161,47771,1138,1652
804,160,45152,1088,1853
805,161,46649,1086,1596
806,161,46476,1117,1882
807,161,45606,1067,1577
808,160,47446,1133,1900
809,161,44516,1057,1567
810,161,48913,1169,1933
811,162,43385,1101,1611
812,160,47585,1125,1639
813,161,45527,1099,1864
814,161,46796,1091,1601
815,161,46537,1120,1886
816,161,44386,1030,1541
817,160,48129,1150,1918
818,162,44241,1069,1579
819,161,47805,1169,1731
820,161,44140,1101,1639
821,160,47926,1118,1631
822,161,45428,1093,1858
823,161,46747,1093,1603
824,161,46640,1119,1885
825,160,45616,1069,1579
826,161,47679,1140,1906
827,161,44514,1054,1565
828,161,48242,1164,1857
829,161,43212,1102,1612
830,161,47655,1113,1627
831,161,45570,1098,1863
832,161,46521,1086,1597
833,160,46812,1125,1890
834,161,45546,1067,1577
835,161,47733,1142,1909
836,161,44248,1056,1566
837,161,48552,1169,1870
838,161,43163,1099,1609
839,161,48083,1124,1638
840,161,45373,1093,1859
841,161,45749,1063,1573
842,160,47032,1128,1893
843,161,45108,1058,1568
844,161,48309,1157,1922
845,161,44259,1069,1579
846,161,48369,1169,1806
847,161,43691,1106,1616
848,161,47961,1122,1636
849,161,45420,1094,1860
850,160,46619,1088,1598
851,161,46664,1124,1889
852,161,45392,1062,1572
853,160,47854,1145,1911
854,161,44547,1054,1564
855,161,48567,1163,1900
856,161,43239,1102,1612
857,161,47734,1122,1636
858,161,45556,1100,1865
859,160,46632,1090,1600
860,161,46664,1122,1887
861,161,45604,1067,1577
862,160,47608,1138,1904
863,161,44515,1050,1560
864,161,48458,1163,1887
865,161,43207,1101,1611
866,161,47496,1109,1623
867,161,45693,1101,1867
868,161,46686,1091,1601
869,161,46742,1124,1889
870,160,45535,1068,1578
871,161,47684,1140,1906
872,161,44657,1054,1564
873,161,48709,1161,1922
874,161,43626,1102,1612
875,161,47726,1136,1650
876,160,45161,1089,1854
877,161,47260,1105,1615
878,161,46148,1110,1875
879,161,45937,1075,1585
880,160,47381,1136,1901
881,161,44814,1052,1562
882,161,48514,1159,1924
883,161,43756,1085,1595
884,161,47645,1151,1665
885,160,45121,1091,1857
886,161,47099,1098,1608
887,161,46131,1110,1875
888,161,46049,1077,1587
889,160,47175,1131,1896
890,161,44665,1047,1558
891,161,48258,1149,1914
892,161,43728,1097,1607
893,163,48458,1164,1678
894,160,44776,1096,1723
895,161,47823,1116,1626
896,161,46172,1119,1885
897,161,48341,1136,1646
898,160,46114,1117,1883
899,161,47619,1116,1626
900,161,45998,1106,1871
901,160,45947,1074,1584
902,161,47164,1128,1894
903,161,44909,1055,1565
904,161,48564,1160,1925
905,161,43541,1085,1595
906,161,47491,1140,1654
907,161,45206,1094,1859
908,160,47003,1096,1606
909,161,46221,1110,1876
910,161,45891,1074,1584
911,160,47307,1132,1897
912,161,44777,1052,1562
913,161,48629,1162,1928
914,161,43251,1087,1597
915,161,47335,1125,1639
916,161,44966,1078,1845
917,160,46807,1096,1606
918,161,46756,1124,1889
919,161,45487,1065,1575
920,161,47834,1146,1912
921,161,44547,1052,1562
922,160,48857,1166,1932
923,162,43402,1101,1611
924,160,47530,1125,1639
925,161,45486,1099,1864
926,161,46801,1094,1604
927,161,46421,1114,1880
928,160,45667,1069,1579
929,161,47609,1140,1905
930,161,44593,1048,1558
931,160,48819,1166,1931
932,162,43437,1094,1604
933,160,47840,1140,1654
934,161,45326,1095,1860
935,161,46982,1095,1605
936,160,46154,1108,1873
937,163,45858,1074,1584
938,160,47161,1130,1896
939,161,45053,1058,1568
940,161,48348,1156,1921
941,162,43739,1076,1586
942,161,47670,1158,1672
943,160,44790,1082,1780
944,161,47113,1099,1609
945,161,46181,1111,1877
946,160,45994,1076,1586
947,161,47386,1137,1902
948,161,45101,1059,1569
949,161,48242,1152,1918
950,161,43969,1077,1587
951,161,48084,1169,1712
952,161,44265,1100,1654
953,160,47504,1106,1617
954,161,45708,1101,1866
955,161,46739,1094,1604
956,161,46824,1126,1892
957,160,45661,1070,1580
958,161,47757,1144,1910
959,161,44632,1049,1559
960,161,47916,1154,1846
961,161,43132,1098,1608
962,160,47763,1113,1627
963,161,45597,1099,1866
964,161,46727,1092,1602
965,161,46428,1112,1878
966,161,45338,1063,1573
967,160,47883,1144,1909
968,162,44294,1063,1573
969,161,48322,1169,1823
970,161,43652,1108,1618
971,161,47779,1123,1637
972,160,45441,1096,1862
973,161,46402,1081,1591
974,161,46628,1118,1883
975,161,45411,1064,1574
976,161,47754,1140,1906
977,161,44233,1064,1574
978,161,48264,1169,1806
979,161,43691,1106,1616
